ID	Front	Back	Tags
PT-V-00001	Hello (informal)	Oi	basics greeting
PT-V-00002	Hello (formal)	Olá	basics greeting
PT-V-00003	Good morning	Bom dia	basics greeting
PT-V-00004	Good afternoon	Boa tarde	basics greeting
PT-V-00005	Good evening / Good night	Boa noite	basics greeting
PT-V-00006	Goodbye	Tchau	basics greeting
PT-V-00007	See you later	Até mais	basics greeting
PT-V-00008	Please	Por favor	basics polite
PT-V-00009	Thank you (male speaker)	Obrigado	basics polite
PT-V-00010	Thank you (female speaker)	Obrigada	basics polite
PT-V-00011	You're welcome	De nada	basics polite
PT-V-00012	Excuse me	Com licença	basics polite
PT-V-00013	Sorry	Desculpa	basics polite
PT-V-00014	Yes	Sim	basics
PT-V-00015	No	Não	basics
PT-V-00016	How are you? (informal)	Como você está?	basics conversation
PT-V-00017	I am fine	Estou bem	basics conversation
PT-V-00018	What is your name?	Qual é o seu nome?	basics conversation
PT-V-00019	My name is...	Meu nome é...	basics conversation
PT-V-00020	Nice to meet you	Prazer em conhecer você	basics conversation
PT-V-00021	Where are you from?	De onde você é?	basics conversation
PT-V-00022	I am from...	Eu sou de...	basics conversation
PT-V-00023	How old are you?	Quantos anos você tem?	basics conversation
PT-V-00024	I am ... years old	Eu tenho ... anos	basics conversation
PT-V-00025	Do you speak English?	Você fala inglês?	basics conversation
PT-V-00026	I don't understand	Eu não entendo	basics conversation
PT-V-00027	Can you help me?	Você pode me ajudar?	basics conversation
PT-V-00028	Water	Água	food
PT-V-00029	Bread	Pão	food
PT-V-00030	Rice	Arroz	food
PT-V-00031	Beans	Feijão	food
PT-V-00032	Chicken	Frango	food
PT-V-00033	Beef	Carne	food
PT-V-00034	Fish	Peixe	food
PT-V-00035	Fruit	Fruta	food
PT-V-00036	Vegetables	Legumes	food
PT-V-00037	Coffee	Café	food
PT-V-00038	Milk	Leite	food
PT-V-00039	Breakfast	Café da manhã	food
PT-V-00040	Lunch	Almoço	food
PT-V-00041	Dinner	Jantar	food
PT-V-00042	House	Casa	basics
PT-V-00043	Apartment	Apartamento	basics
PT-V-00044	Car	Carro	transport
PT-V-00045	Bus	Ônibus	transport
PT-V-00046	Train	Trem	transport
PT-V-00047	Airplane	Avião	transport
PT-V-00048	Airport	Aeroporto	transport
PT-V-00049	School	Escola	places
PT-V-00050	Hospital	Hospital	places
PT-V-00051	Store	Loja	places
PT-V-00052	Restaurant	Restaurante	places
PT-V-00053	Bathroom	Banheiro	places
PT-V-00054	Today	Hoje	time
PT-V-00055	Tomorrow	Amanhã	time
PT-V-00056	Yesterday	Ontem	time
PT-V-00057	Now	Agora	time
PT-V-00058	Later	Mais tarde	time
PT-V-00059	Morning	Manhã	time
PT-V-00060	Afternoon	Tarde	time
PT-V-00061	Night	Noite	time
PT-V-00062	Monday	Segunda-feira	time days
PT-V-00063	Tuesday	Terça-feira	time days
PT-V-00064	Wednesday	Quarta-feira	time days
PT-V-00065	Thursday	Quinta-feira	time days
PT-V-00066	Friday	Sexta-feira	time days
PT-V-00067	Saturday	Sábado	time days
PT-V-00068	Sunday	Domingo	time days
PT-V-00069	One	Um	numbers
PT-V-00070	Two	Dois	numbers
PT-V-00071	Three	Três	numbers
PT-V-00072	Four	Quatro	numbers
PT-V-00073	Five	Cinco	numbers
PT-V-00074	Six	Seis	numbers
PT-V-00075	Seven	Sete	numbers
PT-V-00076	Eight	Oito	numbers
PT-V-00077	Nine	Nove	numbers
PT-V-00078	Ten	Dez	numbers
PT-V-00079	Big	Grande	adjectives
PT-V-00080	Small	Pequeno	adjectives
PT-V-00081	Good	Bom	adjectives
PT-V-00082	Bad	Ruim	adjectives
PT-V-00083	Hot (temperature)	Quente	adjectives
PT-V-00084	Cold (temperature)	Frio	adjectives
PT-V-00085	New	Novo	adjectives
PT-V-00086	Old (thing)	Velho	adjectives
PT-V-00087	Easy	Fácil	adjectives
PT-V-00088	Difficult	Difícil	adjectives
PT-V-00089	To be (permanent)	Ser	verbs
PT-V-00090	To be (temporary)	Estar	verbs
PT-V-00091	To have	Ter	verbs
PT-V-00092	To go	Ir	verbs
PT-V-00093	To eat	Comer	verbs
PT-V-00094	To drink	Beber	verbs
PT-V-00095	To speak	Falar	verbs
PT-V-00096	To see	Ver	verbs
PT-V-00097	To want	Querer	verbs
PT-V-00098	To like	Gostar	verbs
PT-V-00099	I like Portuguese	Eu gosto de português	sentences
PT-V-00100	I am learning Portuguese	Eu estou aprendendo português	sentences
